"uid","school_name","date","year","time","day_of_week","city","state","school_type","enrollment","killed","injured","casualties","shooting_type","age_shooter1","gender_shooter1","race_ethnicity_shooter1","shooter_relationship1","shooter_deceased1","deceased_notes1","age_shooter2","gender_shooter2","race_ethnicity_shooter2","shooter_relationship2","shooter_deceased2","deceased_notes2","white","black","hispanic","asian","american_indian_alaska_native","hawaiian_native_pacific_islander","two_or_more","resource_officer","weapon","weapon_source","lat","long","low_grade","high_grade","county","school","id"
230,"Cascade Middle School","1/11/2019",2019,10:30:00,"Friday","Eugene","Oregon","public",336,0,0,0,"targeted",30,"m",NA,"father of student",1,"police shooting",NA,NA,NA,NA,NA,NA,224,1,79,6,7,3,16,1,"handgun",NA,44.0788,-123.1667,"6","8","Lane County","Middle",236
281,"North High School","1/16/2019",2019,12:30:00,"Wednesday","Minneapolis","Minnesota","public",382,0,0,0,"unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,339,15,6,7,1,8,0,NA,NA,44.994017,-93.300234,"9","12","Hennepin County","High",237
231,"Frederick Douglass High School","2/8/2019",2019,12:00:00,"Friday","Baltimore","Maryland","public",877,0,1,1,"targeted",25,"m",NA,"brother of student",0,NA,NA,NA,NA,NA,NA,NA,8,864,2,0,3,0,0,0,"Smith and Wesson .40 caliber gun",NA,39.3148,-76.6549,"9","12","Baltimore City","High",238
232,"V. Sue Cleveland High School","2/14/2019",2019,07:15:00,"Thursday","Rio Rancho","New Mexico","public",2404,0,0,0,"targeted and indiscriminate",16,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,795,63,1284,35,97,2,128,0,".45 caliber handgun",NA,35.312773,-106.641929,"9","12","Sandoval County","High",239
234,"Robert E. Lee High School","2/26/2019",2019,11:00:00,"Tuesday","Montgomery","Alabama","public",1514,0,1,1,"targeted",16,"m","b","student",0,NA,NA,NA,NA,NA,NA,NA,132,1253,90,20,2,0,17,0,".40-caliber handgun","stolen from neighbor",32.378702,-86.271649,"9","12","Montgomery County","High",240
233,"Highlands Elementary School","3/1/2019",2019,13:30:00,"Friday","Mission","Kansas","public",321,0,0,0,"indiscriminate",26,"m","w","neighbor of school",0,NA,NA,NA,NA,NA,NA,NA,270,5,20,2,0,0,24,0,"handgun",NA,39.0168,-94.6409,"PK","6","Johnson County","Elementary",241
235,"Blountsville Elementary School","3/22/2019",2019,12:30:00,"Friday","Blountsville","Alabama","public",632,0,1,1,"accidental",72,"m","w","substitute teacher",0,NA,NA,NA,NA,NA,NA,NA,516,4,110,0,2,0,0,0,"Taurus .380 pistol","legally purchased by shooter",34.0847,-86.586,"KG","6","Blount County","Elementary",242
236,"Prescott High School","4/1/2019",2019,09:14:00,"Monday","Prescott","Arkansas","public",457,0,1,1,"targeted",14,NA,NA,"student",0,NA,NA,NA,NA,NA,NA,NA,246,182,21,4,4,0,0,0,"handgun",NA,33.791237,-93.377376,"7","12","Nevada County","High",243
282,"New Joseph Bonnheim Community Charter School","4/3/2019",2019,13:45:00,"Wednesday","Sacramento","California","public",370,0,0,0,"unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,38,194,17,2,1,17,0,NA,NA,38.5333,-121.4182,"KG","6","Sacramento County","Elementary",244
237,"Saint Clair Evans Academy","4/3/2019",2019,11:00:00,"Wednesday","Jacksonville","Florida","public",380,0,0,0,"unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,367,3,0,0,0,5,0,NA,NA,30.371086,-81.695138,"PK","5","Duval County","Elementary",245
283,"Flex High School","4/17/2019",2019,10:00:00,"Wednesday","Flint","Michigan","public",120,0,0,0,"targeted",16,NA,NA,"student",0,NA,NA,NA,NA,NA,NA,NA,9,106,2,0,0,0,3,0,NA,NA,43.059497,-83.73516,"9","12","Genesee County","High",246
239,"STEM School Highlands Ranch","5/7/2019",2019,13:52:00,"Tuesday","Highlands Ranch","Colorado","public",1850,1,8,9,"indiscriminate",16,"m","w","student",0,NA,18,"m","w","student",0,NA,1074,5,184,242,5,1,87,1,"Glock 21 .45-caliber semi-automatic pistol, Beretta M9 9mm semi-automatic pistol, Taurus Revolver and a Ruger 10/22 .22-caliber semi-automatic rifle","parent",39.5559,-104.9979,"KG","12","Douglas County","High",247
243,"Menta Academy North","6/10/2019",2019,13:45:00,"Monday","Waukegan","Illinois","private",100,0,0,0,"targeted",27,"m","h",NA,0,NA,15,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"2 handguns",NA,42.35333175,-87.83950925,"PK","12",NA,"High",248
245,"Hendley Elementary School","6/12/2019",2019,16:20:00,"Wednesday","Washington","District of Columbia","public",379,0,0,0,"unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,378,0,1,0,0,0,0,NA,NA,38.828872,-76.999555,"PK","5","District of Columbia","Elementary",249
244,"Blount Elementary School","8/8/2019",2019,07:26:00,"Thursday","Montgomery","Alabama","public",150,0,0,0,"targeted",38,"m","b","father of student",0,NA,NA,NA,NA,NA,NA,NA,150,116,25,121,1,0,12,0,"pistol",NA,32.3106,-86.1324,"KG","5","Montgomery County","Elementary",250
242,"Hollenbeck Middle School","8/27/2019",2019,11:00:00,"Tuesday","Los Angeles","California","public",1023,0,1,1,"unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4,999,4,3,1,1,0,NA,NA,34.036765,-118.212583,"6","8","Los Angeles County","Middle",251
241,"South Aiken High School","9/10/2019",2019,NA,"Tuesday","Aiken","South Carolina","public",1405,0,0,0,"unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,391,99,19,6,1,49,0,NA,NA,33.521766,-81.71303,"9","12","Aiken County","High",252
240,"Aiton Elementary School","9/25/2019",2019,NA,"Wednesday","Washington","District of Columbia","public",243,0,0,0,"targeted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,238,5,0,0,0,0,0,NA,NA,38.896669,-76.933728,"PK","5","District of Columbia","Elementary",253
246,"Ridgway High School","10/22/2019",2019,09:00:00,"Tuesday","Santa Rosa","California","public",257,0,1,1,"targeted",17,NA,NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,64,4,163,4,5,1,16,0,NA,NA,38.4497,-122.7226,"11","12","Sonoma County","High",254
247,"Achievement Academy","11/11/2019",2019,14:00:00,"Monday","Baltimore","Maryland","public",343,0,1,1,"targeted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,332,5,0,1,0,1,0,NA,NA,39.366066,-76.571382,"9","12","Baltimore City","High",255
284,"Esteban Torres High School","11/13/2019",2019,09:00:00,"Wednesday","Los Angeles","California","public",1876,1,0,1,"targeted",NA,NA,NA,"sheriff's deputy",NA,NA,NA,NA,NA,NA,NA,NA,9,20,1836,8,2,0,1,1,NA,"police",34.041846,-118.175531,"9","12","Los Angeles County","High",256
248,"Saugus High School","11/14/2019",2019,07:38:00,"Thursday","Saugus","California","public",2441,2,3,5,"indiscriminate",16,"m",NA,"student",1,"suicide",NA,NA,NA,NA,NA,NA,1294,47,772,176,3,1,148,0,".45 caliber 1911 pistol","ghost gun",34.441924,-118.518128,"9","12","Los Angeles County","High",257
249,"Waukesha South High School","12/2/2019",2019,09:00:00,"Monday","Waukesha","Wisconsin","public",946,0,1,1,"targeted",NA,"m","w","resource officer",0,NA,NA,NA,NA,NA,NA,NA,479,76,329,25,3,0,34,1,"handgun","department issued",42.993,-88.2237,"9","12","Waukesha County","High",258
250,"Oshkosh West High School","12/3/2019",2019,09:00:00,"Tuesday","Oshkosh","Wisconsin","public",1702,0,1,1,"targeted",NA,"m","w","resource officer",0,NA,NA,NA,NA,NA,NA,NA,1475,36,70,79,4,1,37,1,"handgun","department issued",44.0225,-88.5736,"9","12","Winnebago County","High",259
251,"Decatur High School","12/10/2019",2019,08:20:00,"Tuesday","Decatur","Alabama","public",1036,0,0,0,"targeted",22,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,448,301,250,9,6,2,20,0,NA,NA,34.593282,-86.97216,"9","12","Morgan County","High",260
252,"Sacred Heart School","12/10/2019",2019,12:45:00,"Tuesday","Jersey City","New Jersey","private",219,0,0,0,"targeted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,180,12,5,0,0,0,0,NA,NA,40.706963,-74.083408,"PK","8","Hudson County","Elementary",261
253,"Catholic Academy of New Haven","12/16/2019",2019,09:00:00,"Monday","New Haven","Connecticut","private",292,0,0,0,"targeted",NA,"m","b",NA,NA,NA,NA,NA,NA,NA,NA,NA,27,141,39,9,2,0,2,0,NA,NA,41.325823,-72.963177,"PK","8","New Haven County","Elementary",262
254,"Bellaire High School","1/14/2020",2020,16:00:00,"Tuesday","Bellaire","Texas","public",3487,1,0,1,"accidental",16,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,722,695,1520,469,8,3,70,0,".32 caliber semi-automatic pistol",NA,29.692163,-95.469159,"9","12","Harris County","High",263
255,"McAuliffe Elementary School","1/23/2020",2020,11:30:00,"Thursday","Oxnard","California","public",698,0,1,1,"indiscriminate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,16,554,31,1,1,18,0,NA,NA,34.1876,-119.2135,"KG","12","Ventura County","Elementary",264
256,"West High School","2/13/2020",2020,15:00:00,"Thursday","Salt Lake City","Utah","public",2703,0,0,0,"targeted",NA,NA,NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,966,127,1137,229,25,101,118,0,NA,NA,40.774742,-111.900444,"7","12","Salt Lake County","High",265
257,"Antioch High School","2/19/2020",2020,09:30:00,"Wednesday","Antioch","California","public",2061,0,0,0,"targeted",15,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,421,1092,103,14,32,80,0,NA,NA,38.0063,-121.8163,"9","12","Contra Costa County","High",266
258,"Cesar Chavez Community School","2/21/2020",2020,11:00:00,"Friday","Albuquerque","New Mexico","public",203,0,0,0,"unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,7,154,0,26,0,3,0,NA,NA,35.059669,-106.583882,"9","12","Bernalillo County","High",267
259,"Sagemont School","3/5/2020",2020,12:00:00,"Thursday","Weston","Florida","private",651,0,1,1,"accidental",55,"m","b","security guard",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,26.13796,-80.424081,"PK","12","Broward County","High",268
260,"Ribault High School","10/9/2020",2020,14:00:00,"Friday","Jacksonville","Florida","public",1383,0,1,1,"accidental",18,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,30,1318,11,3,0,0,21,0,".380-caliber handgun",NA,30.3906,-81.7073,"9","12","Duval County","High",269
261,"Lincoln Elementary School","11/13/2020",2020,14:00:00,"Friday","Leland","North Carolina","public",594,0,1,1,"accidental",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,258,118,156,0,8,0,54,0,NA,NA,34.2618,-78.0429,"PK","5","Brunswick County","Elementary",270
262,"Hendersonville Middle School","11/24/2020",2020,07:45:00,"Tuesday","Hendersonville","North Carolina","public",561,0,1,1,"accidental",12,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,357,54,109,7,0,4,30,0,NA,NA,35.3219,-82.473,"6","8","Handerson County","Middle",271
263,"Watson Chapel Junior High","3/1/2021",2021,09:55:00,"Monday","Pine Bluff","Arkansas","public",615,1,0,1,"targeted",15,"m","b",NA,NA,NA,NA,NA,NA,NA,NA,NA,91,498,12,11,0,0,3,0,"handgun",NA,34.189927,-92.065921,"7","9","Jefferson County","Junior-High",272
267,"Wayne Central Middle School","3/1/2021",2021,09:40:00,"Monday","Ontario","New York","public",693,0,1,1,"targeted",19,"m","w","employee",NA,NA,NA,NA,NA,NA,NA,NA,640,13,23,6,0,0,11,0,"Smith and Wesson M&P .45 caliber handgun","SRO",43.2197,-77.3036,"5","8","Wayne County","Middle",273
268,"Achievement First Amistad High School","3/4/2021",2021,08:10:00,"Thursday","New Haven","Connecticut","private",520,0,0,0,"unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,41.32981839,-72.9357119,NA,NA,NA,"High",274
264,"Edwards Elementary School","3/8/2021",2021,13:30:00,"Monday","Chesterfield","South Carolina","public",503,0,1,1,"targeted",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,160,2,3,0,0,31,0,NA,NA,34.737634,-80.11771,"PK","5","Chesterfield County","Elementary",275
269,"Bishop Hartley High School","3/9/2021",2021,08:50:00,"Tuesday","Columbus","Ohio","private",679,0,0,0,"unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404,190,29,10,0,0,46,0,NA,NA,39.94497,-82.910821,"9","12","Franklin County","High",276
266,"Selma High School","4/1/2021",2021,13:00:00,"Thursday","Selma","Alabama","public",777,0,0,0,"targeted",15,"m","b",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,771,1,1,0,1,1,0,"handgun",NA,32.428416,-87.022637,"7","12","Dallas County","High",277
265,"Austin-East Magnet High","4/12/2021",2021,15:15:00,"Monday","Knoxville","Tennessee","public",728,0,1,1,"accidental",17,"m","b",NA,1,NA,NA,NA,NA,NA,NA,NA,81,584,41,1,0,0,21,1,"Glock 45 handgun",NA,35.9901,-83.887,"9","12","Knox County","High",278
270,"Ply_mouth Middle School","4/26/2021",2021,08:44:00,"Monday","Ply_mouth","Minnesota","public",1001,0,0,0,"indiscriminate",12,"m","w",NA,NA,NA,NA,NA,NA,NA,NA,NA,454,262,163,35,5,0,82,0,"handgun","father's bedroom",45.020964,-93.406233,"6","8","Hennepin County","Middle",279
271,"Smyrna Middle School","4/27/2021",2021,10:25:00,"Tuesday","Smyrna","Delaware","public",984,1,0,1,"targeted",47,"m","b",NA,NA,NA,NA,NA,NA,NA,NA,NA,571,286,76,16,0,2,33,0,"handgun",NA,39.302595,-75.623778,"7","8","Kent County","Middle",280
272,"Urban Dove Team Charter School","4/29/2021",2021,14:45:00,"Thursday","Brooklyn","New York","public",313,1,0,1,"targeted",15,"m","b",NA,NA,NA,16,"m","b",NA,NA,NA,3,218,81,1,10,0,0,0,NA,NA,40.622473,-73.954975,"10","12","Kings County","High",281
273,"Mary Evelyn Castle Elementary School","4/30/2021",2021,13:00:00,"Friday","Indianapolis","Indiana","public",672,0,1,1,"targeted",32,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,247,157,18,0,1,57,0,NA,NA,39.9081,-86.018,"1","6","Marion County","Elementary",282
274,"Ware Shoals High School","5/5/2021",2021,08:00:00,"Wednesday","Ware Shoals","South Carolina","public",272,0,0,0,"public suicide",15,"m","w",NA,1,"suicide",NA,NA,NA,NA,NA,NA,212,36,16,0,0,0,8,0,"handgun","mom's gun; kept in her car",34.393145,-82.238603,"9","12","Greenwood County","High",283
275,"Rigby Middle School","5/6/2021",2021,09:00:00,"Thursday","Rigby","Idaho","public",1541,0,3,3,"indiscriminate",NA,"f",NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,1334,1,169,5,3,3,26,0,"handgun",NA,43.668498,-111.941927,"6","8","Jefferson County","Middle",284
276,"North Forest High School","6/9/2021",2021,10:30:00,"Wednesday","Houston","Texas","public",976,0,1,1,"targeted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,570,397,0,2,0,1,0,NA,NA,29.867029,-95.259744,"9","12","Harris County","High",285
285,"Saint Francis de Sales School","8/6/2021",2021,13:00:00,"Friday","Houma","Louisiana","private",660,0,1,1,"targeted",17,"m","b",NA,NA,NA,NA,NA,NA,NA,NA,NA,556,10,5,3,3,0,29,0,NA,NA,29.60752,-90.734161,"PK","7","Terrebonne County","Elementary",286
286,"Lithonia High School","8/12/2021",2021,15:00:00,"Thursday","Lithonia","Georgia","public",1362,0,1,1,"targeted",NA,NA,NA,"resource officer",NA,NA,NA,NA,NA,NA,NA,NA,9,1253,74,2,2,1,21,1,"handgun",NA,33.725,-84.1294,"9","12","Dekalb County","High",287
287,"Washington Middle School","8/13/2021",2021,12:45:00,"Friday","Albuquerque","New Mexico","public",442,1,0,1,"targeted",13,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,6,407,4,5,1,5,0,"handgun",NA,35.086144,-106.661691,"6","8","Bernalillo County","Middle",288
288,"Orangeburg-Wilkinson High School","8/18/2021",2021,16:00:00,"Wednesday","Orangeburg","South Carolina","public",1016,0,3,3,"targeted",14,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,954,30,9,2,2,2,0,NA,NA,33.524095,-80.836538,"9","12","Orangeburg County","High",289
289,"New Hanover High School","8/30/2021",2021,11:00:00,"Monday","Wilmington","North Carolina","public",1529,0,1,1,"targeted",15,"m","b",NA,NA,NA,NA,NA,NA,NA,NA,NA,658,488,290,20,4,1,68,0,NA,NA,34.2374,-77.9324,"9","12","New Hanover County","High",290
290,"Mount Tabor High School","9/1/2021",2021,12:00:00,"Wednesday","Winston-Salem","North Carolina","public",1491,1,0,1,"targeted",15,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509,628,252,16,5,2,79,0,NA,NA,36.1268,-80.3132,"9","12","Forsyth County","High",291
291,"LaVergne High School","9/7/2021",2021,15:30:00,"Tuesday","Lavergne","Tennessee","public",1910,0,0,0,"targeted",15,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474,608,702,66,4,4,52,0,NA,NA,35.9887,-86.5597,"9","12","Rutherford County","High",292
292,"Tri-County Education Center","9/8/2021",2021,14:30:00,"Wednesday","Ferndale","Michigan","public",360,0,0,0,"targeted",NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,319,4,2,0,0,6,0,NA,NA,42.450386,-83.159362,"9","12","Oakland County","High",293
293,"Heritage High School","9/20/2021",2021,11:39:00,"Monday","Newport News","Virginia","public",1173,0,2,2,"targeted",15,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,971,82,7,2,5,29,0,NA,NA,37.0063,-76.4272,"9","12","Newport News City","High",294
294,"Newton County Elementary School","9/30/2021",2021,13:45:00,"Thursday","Decatur","Mississippi","public",787,0,1,1,"accidental",NA,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,568,167,14,10,22,2,4,0,"handgun","boyfriend of child's mother",32.446371,-89.105538,"PK","5","Newton County","Elementary",295
295,"Cummings K-8 Optional School","9/30/2021",2021,10:00:00,"Thursday","Memphis","Tennessee","public",495,0,1,1,"targeted",13,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,488,0,0,0,0,6,0,NA,NA,35.1189,-90.0283,"PK","8","Shelby County","Elementary",296
296,"YES Prep Southwest Secondary","10/1/2021",2021,11:45:00,"Friday","Houston","Texas","public",1010,0,1,1,"targeted",25,"m",NA,"former student",NA,NA,NA,NA,NA,NA,NA,NA,4,53,951,1,1,0,0,0,NA,NA,29.605766,-95.44306,"6","12","Harris County","High",297
297,"Timberview High School","10/6/2021",2021,09:15:00,"Wednesday","Arlington","Texas","public",1900,0,4,4,"targeted",18,"m","b","student",NA,NA,NA,NA,NA,NA,NA,NA,44,69,74,21,0,1,11,0,"handgun",NA,32.622073,-97.076321,"9","11","Tarrant County","High",298
299,"Little Rock Central High School","10/12/2021",2021,11:27:00,"Tuesday","Little Rock","Arkansas","public",2430,0,0,0,"unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,785,1254,155,201,18,0,17,0,NA,NA,34.736827,-92.298954,"9","12","Pulaski County","High",299
298,"Wendell Phillips Academy High School","10/12/2021",2021,15:15:00,"Tuesday","Chicago","Illinois","public",599,0,2,2,"indiscriminate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,582,9,0,1,0,6,0,NA,NA,41.8244,-87.6199,"9","12","Cook County","High",300
300,"James McDade Classical School","10/13/2021",2021,08:38:00,"Wednesday","Chicago","Illinois","public",176,0,0,0,"targeted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,162,1,4,0,0,7,0,NA,NA,41.7344,-87.6188,"KG","6","Cook County","Elementary",301
301,"Cathedral School","10/26/2021",2021,09:20:00,"Tuesday","Natchez","Mississippi","private",665,0,0,0,"unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499,82,9,2,0,0,4,0,NA,NA,31.562163,-91.394805,"PK","12","Adams County","Elementary",302
306,"Poughkeepsie High School","11/15/2021",2021,15:15:00,"Monday","Poughkeepsie","New York","public",1153,0,0,0,"targeted",13,"m",NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,72,612,413,7,3,6,40,0,".38-caliber handgun",NA,41.6948,-73.9138,"9","12","Dutchess County","High",303
307,"P.S. 44","11/16/2021",2021,14:15:00,"Tuesday","Bronx","New York","public",263,0,0,0,"unclear",45,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,83,174,0,1,1,0,0,"handgun",NA,40.8425,-73.891,"PK","5","Bronx County","Elementary",304
302,"Hinkley High School","11/19/2021",2021,12:00:00,"Friday","Aurora","Colorado","public",2091,0,3,3,"targeted",16,NA,NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,117,290,1513,81,18,25,47,1,NA,NA,39.7349,-104.8086,"9","12","Arapahoe County","High",305
308,"Thornton Township High School","11/24/2021",2021,15:00:00,"Wednesday","Harvey","Illinois","public",1569,0,0,0,"targeted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1126,406,24,4,1,5,0,NA,NA,41.61606,-87.643734,"9","12","Cook County","High",306
303,"Cesar Chavez High School","11/29/2021",2021,15:00:00,"Monday","Laveen","Arizona","public",2590,0,1,1,"targeted",15,"m",NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,115,396,1816,53,129,8,73,0,NA,NA,33.3757,-112.1463,"9","12","Maricopa County","High",307
304,"Oxford High School","11/30/2021",2021,12:50:00,"Tuesday","Oxford","Michigan","public",1872,4,7,11,"indiscriminate",15,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,1549,53,186,30,1,5,48,0,"9mm handgun","parent",42.838243,-83.260782,"9","12","Oakland County","High",308
309,"Sam Rayburn High School","12/1/2021",2021,23:00:00,"Wednesday","Pasadena","Texas","public",2724,0,0,0,"targeted",21,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,84,2482,10,4,0,14,0,NA,NA,29.678303,-95.182324,"9","12","Harris County","High",309
310,"Great Oaks Charter School","12/9/2021",2021,09:30:00,"Thursday","New York","New York","public",299,0,0,0,"unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,92,179,11,2,0,6,0,NA,NA,40.719909,-73.991729,"6","9","New York County","High",310
311,"Jesse C. Carson High School","12/9/2021",2021,14:00:00,"Thursday","China Grove","North Carolina","public",1245,0,0,0,"accidental",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,933,48,205,6,3,0,50,0,NA,NA,35.563,-80.5457,"9","12","Rowan County","High",311
312,"West Charlotte High School","12/13/2021",2021,14:15:00,"Monday","Charlotte","North Carolina","public",1376,0,0,0,"targeted",NA,NA,NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,18,1058,187,35,2,0,76,0,NA,NA,35.2654,-80.8585,"9","12","Mecklenburg County","High",312
313,"Eau Claire High School","12/16/2021",2021,15:00:00,"Thursday","Columbia","South Carolina","public",510,0,0,0,"targeted",15,"m",NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,6,440,46,0,0,6,17,0,NA,NA,34.048231,-81.040984,"9","12","Richland County","High",313
314,"Auburn High School","1/4/2022",2022,13:10:00,"Tuesday","Rockford","Illinois","public",1807,0,2,2,"targeted",16,"m","b",NA,NA,NA,17,"m","b",NA,NA,NA,498,770,331,75,4,2,127,0,"9mm handgun",NA,42.286784,-89.137895,"9","12","Winnebago County","High",314
315,"Seminole High School","1/19/2022",2022,12:00:00,"Wednesday","Sanford","Florida","public",4062,0,1,1,"targeted",16,"m","b","student",NA,NA,NA,NA,NA,NA,NA,NA,1377,1134,975,385,14,11,166,0,"9mm handgun",NA,28.7793,-81.283,"9","12","Seminole County","High",315
317,"Oliver Citywide Academy","1/19/2022",2022,13:45:00,"Wednesday","Pittsburgh","Pennsylvania","public",105,1,0,1,"targeted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,85,0,0,0,0,11,0,NA,NA,40.464327,-80.024121,"3","12","Allegheny County","Elementary & Middle",316
316,"Magruder High School","1/21/2022",2022,13:00:00,"Friday","Rockville","Maryland","public",1697,0,1,1,"targeted",17,"m",NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,436,302,671,210,3,0,75,0,NA,NA,39.1313,-77.1183,"9","12","Montgomery County","High",317
323,"South Education Center","2/1/2022",2022,12:07:00,"Tuesday","Richfield","Minnesota","public",71,1,1,2,"targeted",19,"m","h","student",NA,NA,18,"m","h",NA,NA,NA,15,17,27,2,1,1,8,0,NA,NA,44.868045,-93.310844,"PK","12","Hennepin County","High",318
335,"Mount Vernon High School","2/8/2022",2022,14:00:00,"Tuesday","Mount Vernon","New York","public",1302,0,0,0,"unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,974,262,11,6,2,2,0,NA,NA,40.9258,-73.8151,"9","12","Westchester County","High",319
324,"Liberty Point International School","2/22/2022",2022,15:30:00,"Tuesday","Pueblo West","Colorado","public",536,1,0,1,"targeted",NA,NA,NA,"police officer",NA,NA,NA,NA,NA,NA,NA,NA,256,4,227,0,4,2,43,0,"service weapon",NA,38.3173,-104.7291,"6","8","Pueblo County","Middle",320
336,"Jonesboro High School","2/28/2022",2022,NA,"Monday","Clayton County","Georgia","public",1383,0,0,0,"unclear",NA,NA,NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,44,923,313,48,6,0,49,0,"Loaded handgun",NA,33.5427,-84.3428,"9","12","Clayton County","High",321
318,"Olathe East High School","3/4/2022",2022,10:30:00,"Friday","Olathe","Kansas","public",1957,0,2,2,"targeted",18,"m","b","student",NA,NA,NA,NA,NA,NA,NA,NA,1264,209,280,102,7,4,91,0,NA,NA,38.8959,-94.7539,"9","12","Johnson County","High",322
319,"East High School","3/7/2022",2022,15:00:00,"Monday","Des Moines","Iowa","public",2204,1,2,3,"indiscriminate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644,339,922,158,10,2,129,0,NA,NA,41.5969,-93.600681,"9","12","Polk County","High",323
320,"North Gardens High School","3/9/2022",2022,13:30:00,"Wednesday","Miami Gardens","Florida","public",335,0,3,3,"indiscriminate",17,"m",NA,NA,NA,NA,18,"m",NA,NA,NA,NA,11,138,183,0,0,0,3,0,"Glock",NA,25.938839,-80.276769,"9","12","Miami-Dade County","High",324
325,"De Anza High School","3/11/2022",2022,NA,"Friday","Richmond","California","public",1380,0,1,1,"targeted",NA,NA,NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,106,308,665,243,4,10,44,0,NA,NA,37.969409,-122.288035,"9","12","Contra Costa County","High",325
326,"Eisenhower High School","3/15/2022",2022,15:00:00,"Tuesday","Yakima","Washington","public",1908,1,0,1,"targeted",15,"m",NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,447,11,1372,12,21,1,43,0,NA,NA,46.591635,-120.565796,"9","12","Yakima County","High",326
339,"Mott-Regent School","3/21/2022",2022,NA,"Wednesday","Hettinger County","North Dakota","public",98,1,0,1,"targeted",NA,"m",NA,"police officer",NA,NA,NA,NA,NA,NA,NA,NA,87,2,3,0,5,1,0,0,"service pistol",NA,46.372185,-102.318612,"7","12","Hettinger County","Elementary",327
