"uid","school_name","date","year","time","day_of_week","city","state","school_type","enrollment","killed","injured","casualties","shooting_type","age_shooter1","gender_shooter1","race_ethnicity_shooter1","shooter_relationship1","shooter_deceased1","deceased_notes1","age_shooter2","gender_shooter2","race_ethnicity_shooter2","shooter_relationship2","shooter_deceased2","deceased_notes2","white","black","hispanic","asian","american_indian_alaska_native","hawaiian_native_pacific_islander","two_or_more","resource_officer","weapon","weapon_source","lat","long","low_grade","high_grade","county","school","id"
24,"Bishop Neumann Junior-Senior High","3/7/2001",2001,12:00:00,"Wednesday","Williamsport","Pennsylvania","private",227,0,1,1,"targeted",14,"f","w","student",0,NA,NA,NA,NA,NA,NA,NA,208,10,5,4,0,NA,NA,0,".22-caliber revolver","father",41.249266,-76.996564,"7","12","Lycoming County","High",24
25,"Granite Hills High School","3/22/2001",2001,13:00:00,"Thursday","El Cajon","California","public",2846,0,5,5,"targeted and indiscriminate",18,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,2256,67,376,66,50,NA,NA,1,"Mossberg pump-action 12-gauge shotgun",NA,32.800101,-116.916889,"9","12","San Diego County","High",25
26,"Lew Wallace High School","3/30/2001",2001,08:15:00,"Friday","Gary","Indiana","public",1179,1,0,1,"targeted",17,"m",NA,"former student (expelled)",0,NA,NA,NA,NA,NA,NA,NA,2,1135,39,3,0,NA,NA,1,"pistol",NA,41.536645,-87.34132,"9","12","Lake County","High",26
27,"Monroe City Alternative Center","4/20/2001",2001,07:20:00,"Friday","Monroe","Louisiana","public",65,0,0,0,"targeted",14,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,".380 caliber semi-automatic pistol",NA,32.524187,-92.070624,NA,NA,"Ouachita Parish","High",27
28,"Ennis High School","5/15/2001",2001,12:00:00,"Tuesday","Ennis","Texas","public",1279,0,0,0,"hostage suicide",16,"m",NA,"student",1,"suicide",NA,NA,NA,NA,NA,NA,692,202,383,2,0,NA,NA,0,".357 Magnum pistol",NA,32.305062,-96.629758,"9","12","Ellis County","High",28
29,"Belmont High School","7/30/2001",2001,07:20:00,"Monday","Los Angeles","California","public",5264,0,1,1,"targeted",NA,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,27,98,4679,456,4,NA,NA,1,"revolver",NA,34.061499,-118.263286,"9","12","Los Angeles County","High",29
30,"Latonia Elementary School","9/12/2001",2001,15:00:00,"Wednesday","Covington","Kentucky","public",526,1,0,1,"targeted",30,"f","w","parent of student",0,NA,NA,NA,NA,NA,NA,NA,441,81,0,1,3,NA,NA,0,".380-caliber semiautomatic pistol",NA,39.044149,-84.49833,"KG","5","Kenton County","Elementary",30
31,"Redondo Union High School","10/26/2001",2001,10:00:00,"Friday","Redondo Beach","California","public",2069,0,1,1,"accidental",16,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,1199,121,518,216,15,NA,NA,0,".38-caliber handgun",NA,33.844274,-118.384456,"9","12","Los Angeles County","High",31
32,"Caro Learning Center","11/12/2001",2001,14:40:00,"Monday","Caro","Michigan","public",151,0,0,0,"targeted",17,"m",NA,"student",1,"suicide",NA,NA,NA,NA,NA,NA,126,2,23,0,0,NA,NA,0,"20-guage shotgun","legally purchased by shooter",43.458011,-83.438553,"9","12","Tuscola County","High",32
33,"Martin Luther King, Jr. High School","1/15/2002",2002,14:00:00,"Tuesday","New York City","New York","public",2258,0,2,2,"targeted",17,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,49,1223,949,29,8,NA,NA,0,"Lorcin .380-caliber semiautomatic pistol","illegally purchased",40.774262,-73.985021,"9","12","New York County","High",33
34,"Gardena High School","2/6/2002",2002,14:50:00,"Wednesday","Los Angeles","California","public",3198,0,2,2,"targeted",17,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,77,1381,1492,244,4,NA,NA,0,"pistol",NA,33.866342,-118.296704,"9","12","Los Angeles County","High",34
35,"Benjamin Tasker Middle School","10/7/2002",2002,08:09:00,"Monday","Bowie","Maryland","public",1371,0,1,1,"indiscriminate",NA,"m","b","none",0,NA,NA,NA,NA,NA,NA,NA,562,706,47,52,4,NA,NA,0,"Bushmaster XM-15 rifle","stolen",38.957407,-76.746341,"7","8","Prince George's County","Middle",35
36,"Lincoln High School","10/29/2002",2002,08:30:00,"Tuesday","Jersey City","New Jersey","public",986,0,1,1,"targeted",15,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,9,722,208,43,4,NA,NA,1,"Browning .380-caliber pistol",NA,40.716783,-74.070502,"9","12","Hudson County","High",36
37,"St. James Catholic School","11/7/2002",2002,12:30:00,"Thursday","Liberty","Missouri","private",297,1,1,2,"targeted",41,"m",NA,"parent of student",0,NA,NA,NA,NA,NA,NA,NA,287,4,5,1,0,NA,NA,0,"revolver","legally purchased by shooter",39.240746,-94.45515,"KG","8","Clay County","Elementary & Middle",37
